"year","disease","region_name","case_numbers","source","nutM_code"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI32"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI44"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITH54"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI44"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI44"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI44"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
